RQ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2019/2/20,71660.78955,70207.15918,69404.59766,69117.31348,69454.58691,70306.37158,71950.81543,73856.06445,76368.45947,76936.98389,76947.32666,76131.02442,75159.04981,74818.2251,74409.83252,74975.43994,76850.20117,77350.71387,78655.26953,79810.17383,79611.771,77605.20459,75654.86426,73412.76758
2019/2/21,71808.75391,70259.99902,69990.07617,69404.0044,69660.84131,70709.48828,72739.76563,74272.64453,76953.62305,77680.78711,78306.48779,77770.61621,76535.30273,75423.41113,75934.23731,76082.27002,77465.69824,77481.45606,78319.68555,79078.47803,78601.97559,76726.875,74798.2876,72586.37354
2019/2/22,70652.19141,69588.72022,69230.28516,69025.02197,68883.16943,70217.63818,72421.89649,74313.49023,76268.53272,76930.22998,77095.49219,76312.69678,75098.95752,74571.1543,74089.37158,74070.56104,75530.04785,76023.90723,77519.85303,78579.32373,78050.43311,76793.51123,74526.97412,72599.89356
2019/2/23,70729.55518,69453.89209,68525.68848,68510.22754,68403.9126,69246.13184,70678.66943,72006.87353,74807.44678,75439.81592,75721.50342,74580.16846,73863.54492,73718.71533,72823.85986,73315.12988,74755.0166,75920.65235,77344.23389,78221.94824,78118.13281,76350.71875,74319.84326,72607.47754
2019/2/24,70647.31299,69488.95801,69028.17481,68642.38769,68617.18311,69294.78711,70712.30811,71786.63965,74395.97266,75338.63916,75636.5542,75145.06055,74838.28418,74836.95068,74195.61816,74360.88672,75645.68115,76629.88818,78177.22559,79543.13477,79301.6709,77325.55029,74605.79541,72835.68115
2019/2/25,71438.20752,70312.71436,69846.66406,69329.1377,69814.10742,70856.67188,73534.27246,74962.41406,77267.04297,77389.99316,77483.04297,76334.25684,75348.41699,74792.54688,75027.77734,75248.82227,76560.44531,77643.89893,78420.66016,79455.64893,79036.07764,77365.47803,75197.50879,73115.6123
2019/2/26,71990.90723,71009.79297,70470.10547,70172.74902,70221.76318,71253.62891,73638.53613,74893.10352,77250.6875,77221.10059,77816.89941,77160.70898,76165.11133,75951.06152,75777.62646,76211.10938,77390.74805,77967.78906,78765.2373,79380.39063,78892.78125,77121.91895,75039.05371,73558.11719
2019/2/27,71889.07129,70788.24316,70061.66797,69837.09912,69794.67969,71030.36914,74216.49219,75140.44922,77492.29541,77473.63916,77730.60156,76664.30322,75445.94385,75157.74902,74717.77246,75238.50195,76657.88379,77194.40869,78158.79395,79200.54639,78988.83203,77237.57227,74814.37647,72870.84277
2019/2/28,71174.31836,70086.06494,69916.86524,69587.20996,69493.37012,70878.41211,73733.49317,75161.57813,76454.00537,76281.38574,76672.21094,76214.85352,75295.93262,74908.63477,75078.05615,75003.17529,76182.38525,76712.18262,77764.9707,78742.76465,78698.67139,76695.16016,74885.01953,73188.20606
2019/3/1,71635.69531,70556.90576,70032.2168,69592.45508,69628.60742,71118.06641,73749.16406,74887.74805,77100.61914,77574.76123,77789.57129,76919.77441,76604.64453,75811.89941,75819.25732,76178.34033,77385.20996,78036.25,79084.76221,79992.62695,79604.17041,78150.68408,76180.61475,74291.13721
2019/3/2,72494.82422,71386.5376,70994.55957,70647.67481,70473.01172,71295.82568,72648.35254,74048.11231,76614.85693,77435.95313,77889.55469,76922.0752,76025.75781,75551.20606,75214.11182,75721.05566,76470.77832,77435.16797,78399.28125,79315.05273,79204.81006,77848.78565,76071.05225,74137.62012
2019/3/3,72440.27637,71472.75977,70688.48779,70542.8335,70607.70752,71069.34668,72729.11328,74108.04199,75966.55078,76028.33838,75855.55518,75168.07813,74161.61328,73782.92529,73036.98438,73192.59815,74882.12793,75594.16846,76990.22998,78529.52051,78773.40186,76974.25635,74449.23486,72420.25879
2019/3/4,70635.78613,69517.60449,69012.98242,68778.71387,69132.6084,70442.62451,73409.73828,74435.2876,76136.62207,76141.77246,76640.29443,75330.70605,74068.34619,73774.43994,73513.22998,74363.63037,75581.00049,76242.58301,77666.0332,78453.13477,78258.38086,76845.91895,74199.2832,72465.81592
2019/3/5,70950.60547,70066.76563,69546.96875,69200.67969,69569.68457,70943.56543,73144.3252,74476.76367,75646.24121,75664.45215,75221.67725,74816.11572,73395.0625,72988.61475,72621.88379,73120.32471,74573.0332,75257.40088,76550.49512,77647.05518,77735.94043,75853.49707,73884.36475,71907.15723
2019/3/6,70559.87695,69819.97217,68684.0752,68215.61475,68617.53711,70005.06152,73238.76856,74342.45215,75099.99756,75212.30664,74859.03613,74291.36719,72986.89649,72482.86133,72477.91797,72904.52881,74766.50977,75577.98291,76754.23389,77872.53467,77829.39942,75983.21387,73486.65918,71991.55176
2019/3/7,70370.56006,69050.67139,68674.09033,68006.70801,68275.25537,69723.57129,72475.70117,73502.13086,74739.36035,74950.57276,75987.76904,75336.64648,73903.82813,73860.73144,73892.79883,74807.67822,76171.25098,77346.38281,77761.75977,78456.56494,78129.14746,76101.07324,74361.64502,72126.35449
2019/3/8,70870.94385,69865.14258,69371.2124,68832.58496,69219.07813,70370.25879,73122.60156,74382.1709,76060.25098,76472.17334,76604.08789,75502.04883,74808.24512,74447.73535,74042.79102,74272.51221,75837.22412,76864.52442,77520.83594,78597.13867,77938.50342,76769.11768,75235.76807,73281.83105
2019/3/9,71663.91504,70532.70361,69654.55713,69445.58838,69514.04199,70533.8833,71729.38281,72826.58203,74781.66992,74629.93457,74379.80566,73632.25146,72589.98242,72231.54541,72043.40723,72620.47656,74085.84961,75584.07129,76947.12988,77721.46973,77539.54785,75927.56934,74397.27637,72591.29981
2019/3/10,70993.25586,69192.25098,68598.45996,68213.1084,67941.90283,68927.27539,70395.10059,71410.79346,73221.26953,73723.27344,74239.95508,74437.65479,73813.05078,73255.55859,73044.76953,72861.88672,73954.17578,74769.48535,76274.93945,78091.66309,78007.82861,76196.98828,74237.25293,72453.91553
2019/3/11,70852.24707,69743.58106,69385.29785,68645.70361,69241.26953,70488.99316,73250.19824,74158.68652,75549.26611,74917.79346,75077.43555,74749.70068,73481.3291,73064.07227,72909.79395,72877.37842,74332.46045,74802.71533,76137.26465,78428.35303,78144.35889,76812.54883,74674.23096,72672.78564
